LastName, FirstName, Course
Griffin, Lanny  , Biomedical Engineering
Grossenbacher, Dena L. , Biological Sciences
Grundmeier, Todd A. , Mathematics
Gu, Caixing  , Mathematics
Guise, Megan  , School of Education
Gutierrez, Thomas D. , Physics
Haberland, Matthew D. , BioResource and Agricultural Engineering
Habib, Kenneth  , Music
Hackman, Christine L.  , Kinesiology
Hagen, John  , Chemistry and Biochemistry
Hagobian, Todd A. , Kinesiology
Hailer, Jason D. , Construction Management
Hajrasouliha, Amir  , City and Regional Planning
Hall, Garrett J. , Civil and Environmental Engineering
Hall, Kellie Green , College of Science and Mathematics, Kinesiology
Hamachi, Leslie  , Chemistry and Biochemistry
Hamilton, Lynn  , Agribusiness
Hamilton, Margaret E. , Mathematics
Hamilton, Stephen  , Economics
Hampsey, John C. , English
Hanson, James L. , Civil and Environmental Engineering
Harding, Trevor S. , Materials Engineering
Hardy, Kristina  , Biological Sciences
Harsh, Matthew  , Interdisciplinary Studies in the Liberal Arts
Hatch, Ryan  , English
Hauck, Allan  , Construction Management
Haungs, Michael L. , Computer Science; Liberal Arts and Engineering Studies
Hawkins, Benjamin George , Biomedical Engineering, Electrical Engineering
Haynes, M. Taylor  , Chemistry and Biochemistry
Hazelwood, Scott  , Biomedical Engineering
Headrick, David H. , Horticulture and Crop Science
Healy, Brian P. , Theatre and Dance
Helmbrecht, Brenda  , English
Helms, Eleanor D. , Philosophy
Hendricks-Bolen, Karin A. , Theatre and Dance
Hess, Jeffrey  , Marketing
Hewavitharana, Shashika  , Horticulture and Crop Science
Heying, Michael D. , Chemistry and Biochemistry
Heylman, Christopher M. , Biomedical Engineering 
Hickman, Emily  , Accounting
Higgins, Lindsey M. , Agribusiness
Hill, Margarita M. , Landscape Architecture
Hill, Alessandro  , Industrial and Manufacturing  Engineering
Hillers, Kenneth J. , Biological Sciences
Himelblau, Edward T. , Biological Sciences
Hoellwarth, Chance  , Physics
Holladay, Bret  , Statistics
Holtzapple, Robert  , Physics
Hoover, Benjamin K. , Horticulture and Crop Science
Hopper, Matthew S. , History
Horney, Marc R. , Animal Science
Howe, Patrick C. , Journalism
Howes, Daniel J. , BioResource and Agricultural Engineering
Hurley, Sean P. , Agribusiness
Hurt, Shelley L. , Political Science
Huzzey, Juliana M. , Animal Science
Hydock, Chris  , Marketing
Immoos, Chad E. , Chemistry and Biochemistry
Iscold, Paulo  , Aerospace Engineering
Isom, Denise A. , Ethnic Studies
Jackson, Douglas  , Architecture
Jackson, Lorraine D. , Communication Studies
Jackson, Thanayi  , History
Jaggia, Sanjiv  , Economics
James, Jonathan  , Economics
James, Jeremy  , Natural Resources Management and Environmental Sciences
Jankovitz, Kristine Z. , Kinesiology
Jansen, Daniel  , Civil and Environmental Engineering
Janzen, David S. , Computer Science
Jasbinsek, John J. , Physics
Jeffery, Elizabeth  , Physics
Jenkins, Ryan  , Philosophy
Jensen, Jessica L. , School of Education
Jin, Xiaomin  , Electrical Engineering
Jipson, Jennifer  , Psychology and Child Development
Johnston, Scott C. , Physics
Johnston, Liz B. , Social Sciences
Jones, Dane R. , Chemistry and Biochemistry
Jones, Eric  , Chemistry and Biochemistry
Jones, R. Thomas  , Architecture
Jones, Terry L. , Social Sciences
Jones, Barry  , Construction Management
Jovanovic, Jasna  , Psychology and Child Development
Jung, Stephanie  , Food Science and Nutrition
Kabaker, Russ  , College of Agriculture, Food and Environmental Sciences
Kachlakev, Damian I. , Civil and Environmental Engineering
Kaczorowski, Jessica  , Psychology and Child Development
Kane, Steven  , School of Education
Kang, Iksoon  , Animal Science
Kantorowski, Eric J. , Chemistry and Biochemistry
Kasper, Eric P. , Civil and Environmental Engineering
Kathuria, Ajay  , Industrial Technology and Packaging 
Kato, Goro C. , Mathematics
Katona, Thomas M. , Biomedical Engineering
Kauffmann, Krista J. , English
Kaul, Anton  , Mathematics
Kazerouni, Ayaan M. , Computer Engineering
Keadle, Sarah K. , Kinesiology
Kean, Andrew J. , Mechanical Engineering
Kearns, Timothy J. , Computer Science
Keeling, Elena L. , Biological Sciences
Keen, Aaron W. , Computer Science
Keese, James R. , Social Sciences
Keesey, Douglas  , English
Keif, Malcolm G. , Graphic Communication
Keim, Nathan C. , Physics
Keller, John M. , Physics
Kelting, Scott D. , Construction Management
Kelting, Mary  , Orfalea College of Business
Kennelly, Brian  , World Languages and Cultures
Khosmood, Foaad  , Computer Engineering, Computer Science
Kingsbury, Kevin B. , Chemistry and Biochemistry
Kirby, David  , Interdisciplinary Studies in the Liberal Arts
Kirk, Colleen M. , Mathematics
Kiste, Alan L. , Chemistry and Biochemistry
Kitts, Christopher L. , Biological Sciences
Klay, Jennifer L. , Physics
Klisch, Stephen M. , Mechanical Engineering
Knight, Charles A. , Biological Sciences
Kolegraff, Stacy  , Construction Management
Kolkailah, Faysal  , Aerospace Engineering
Kolluru, Gita R. , Biological Sciences
Kolodziejski, Lauren R. , Communication Studies
Krifka, Laura  , Art and Design
Kuhn-Choi, Don H. , Architecture
Kurfess, Franz J. , Computer Science
Kuriabova, Tatiana  , Physics
La Frano, Michael  , Food Science and Nutrition
Lacanienta, Andrew  , Experience Industry Management
Laiho, Lily  , Biomedical Engineering
Lambertz-Berndt, Megan M. , Communication Studies
Lammert, Amy  , Food Science and Nutrition
Lange, Karen F. , Architecture
Langner, Carrie A. , Psychology and Child Development
Lappe, Martine Danielle , Social Sciences
Lathrop, Amanda A. , Food Science and Nutrition
Latner, Michael  , Political Science
Laursen, Peter T. , Architectural Engineering
Laver, Gary D. , Psychology and Child Development
Lawson, John W. , Architectural Engineering
Lease, Terry  , Wine and Viticulture
Lecat, Benoit  , Wine and Viticulture
Lee, Linda  , Psychology and Child Development
Lee, Jean L. , Materials Engineering
Lee, Jess  , Social Sciences
Lehr, Corinne  , Chemistry and Biochemistry
Lehr, Jane L. , Ethnic Studies, Women’s and Gender Studies
Leithner, Anika  , Political Science
Lema, Sean C. , Biological Sciences
Lemieux, Patrick  , Mechanical Engineering
Lepore, Jason  , Economics
Lertwachara, Kevin  , Management, HR, and Information Systems
Liddicoat, Albert  , Electrical Engineering, Computer Engineering
Liese, Jeffrey E. , Mathematics
Lin, Patrick  , Philosophy
Lin, Joyce T. , Mathematics
Lin, Kevin  , Experience Industry Management
Liu, Bo  , BioResource and Agricultural Engineering
Livingston, Peter A. , BioResource and Agricultural Engineering
Liwanag, Heather   , Biological Sciences
Lloyd-Moffett, Stephen  , Philosophy
Loberg, Molly J. , History
LoCascio, James Gaspare , Mechanical Engineering
London, Blair  , Materials Engineering
Long, Todd  , Philosophy
Lopus, Sara E. , Social Sciences
Lowham, Elizabeth A. , Political Science
Lucas, Michael Austin , Architecture
Lund, Ulric J. , Statistics
Lundquist, Tryg J. , Civil and Environmental Engineering
Lupo, Christopher  , Computer Engineering, Computer Science
Lutz, Benjamin  , Mechanical Engineering
Lynch, Joseph  , Philosophy
Ma , Ruoxi  , Graphic Communication
Maber, David A. , Accounting
MacCarley, Arthur Carl , Electrical Engineering
MacDougall, Neal A. , Agribusiness
Macedo, Jose  , Industrial and Manufacturing Engineering
Machamer, Joshua T. , Theatre and Dance
Mackin, Thomas J. , Mechanical Engineering
Macro, Kenneth L. , Graphic Communication
Maddren, Jesse  , Mechanical Engineering
Mahadev, Sthanu  , Mechanical Engineering
Main, Kelly D. , City and Regional Planning
Maitland, Padma  , Architecture
Malama, Bwalya  , Natural Resources Management and Environmental Sciences
Malcom, Lorna A. , College of Architecture and Environmental Design
Manjarin, Rodrigo  , Animal Science
Marchbanks, Paul  , English
Marijuan, Silvia  , World Languages and Cultures
Marlier, John F. , Chemistry and Biochemistry
Marlow ,, Colleen A. (2014
Marshall, David D. , Aerospace Engineering
Martinez, Andres W. , Chemistry and Biochemistry
Martinez, Charmaine  , Art and Design
Martinez, Nathaniel W. , Biological Sciences
Martinez, Shanae A. , English
Mase, Tom  , Mechanical Engineering
Mastoridis, Themistoklis  , Physics
Maurice, Stefanee  , Kinesiology
Mayer, Hans  , Mechanical Engineering
McCormick, Kathryn E. , Art and Design
McCullough, Michael P. , Agribusiness
McDaniel, Cole C. , Architectural Engineering
McDonald, Ashley  , Chemistry and Biochemistry
McDonald, Margot K. , Architecture
McDonald, Casey  , Journalism
McFarlane, Zach  , Animal Science
McGaughey, Karen J. , Statistics
McLamore, Alyson  , Music
McNeil Chand, Christina J. , Theatre and Dance
Mealy, Bryan J. , Computer Engineering, Electrical Engineering
Medina, Elsa  , Mathematics
Medizade, Mason  , Mechanical Engineering
Mehiel, Eric A. , College of Engineering, Aerospace Engineering
Mello, Joseph D. , Mechanical Engineering
Mendes, Anthony A. , Mathematics
Metcalf, Lynn E. , Industrial Technology and Packaging
Mewes, Matthew  , Physics
Meyers, Joan  , Social Sciences
Migler, Theresa  , Computer Science
Miklowitz, Paul  , Philosophy
Milbourne, Chelsea  , English
Miller, Charles , R. (1987
Mitchell, David  , Physics
Mock, Rodney  , Accounting
Moelter, Matthew J. , Physics
Moore, Matthew J. , Political Science
Moreno, J. Kelly  , Psychology and Child Development
Morris, Andrew D. , History
Moss, Robb E. S. , Civil and Environmental Engineering
Mott, Jennifer  , Mechanical Engineering
Muleta, Misgana  , Civil and Environmental Engineering
Munoz-Christian, Karen  , World Languages and Cultures
Murphy, Kate  , History
Murray, William R. , Mechanical Engineering
Mwangi, James  , Architectural Engineering
Myers, Allison  , Art and Design
Nafisi, Ahmad  , Electrical Engineering
Nation, Jasmine  , Liberal Studies
Navarro, Jenell R. , Ethnic Studies
Navarro, Jose  , Ethnic Studies
Nazmi, Aydin  , Food Science and Nutrition
Neff, Grace Ann , Chemistry and Biochemistry
Neill, Dawn  , Interdisciplinary Studies in the Liberal Arts
Neill, Stern  , Marketing
Nelson, Jill  , Architectural Engineering
Nelson, Yarrow M. , Civil and Environmental Engineering
Nelson, Leslie R. , Communication Studies
Neumann, Natasha  , School of Education
Nico, Phillip L. , Computer Engineering, Computer Science
Niku, Saeed B. , Mechanical Engineering
Noland, Jaymie J. , Animal Science
Noori, Mohammad  , Mechanical Engineering
Nuttall, Brent  , Architectural Engineering
Nuworsoo, Cornelius K. , City and Regional Planning
O'Bryant, Camille P. , College of Science and Mathematics, Kinesiology
O'Hara, Christine E. , Landscape Architecture
Oliver, John Y. , Electrical Engineering, Computer Engineering
Olsen, Eric  , Industrial Technology and Packaging
Olsen, Clare  , Architecture
Orth, Joel J. , History
Osborn, Brian  , Architecture
Oulton, Rebekah L. , Civil and Environmental Engineering
Owen, Franklin C. , Mechanical Engineering
Oza, Javin P. , Chemistry and Biochemistry
Oñate-Madrazo, Andrea  , History
Pal, Nirupam  , Civil and Environmental Engineering
Palandoken, Hasan  , Chemistry and Biochemistry
Pan, Jianbiao J. , Industrial and Manufacturing Engineering
Pande, Anurag  , Civil and Environmental Engineering
Pantoja, Maria  , Computer Engineering, Computer Science
Papathakis, Peggy C. , Food Science and Nutrition
Paquin, Dana  , Mathematics
Park, Michael  , Journalism
Parrotta, Kylie Lynn , Social Sciences
Pascual, Christopher C. , Mechanical Engineering
Pasulka, Alexis L. , Biological Sciences 
Patel, Pratish A. , Finance
Patton, Linda J. , Mathematics
Pearse, Erin P.J. , Mathematics
Perrine, John D. , Biological Sciences
Peters, Jason  , English
Peterson, Daniel G. , Animal Science
Peterson, Zachary  , Computer Science
Peuker, Steffen  , Mechanical Engineering
Phelan, Suzanne  , Kinesiology
Phillips, Stephen J. , Architecture
Piburn, Patti  , Journalism
Pierce, Todd J. , English
Pilkington, Wayne  , Electrical Engineering
Pilolla, Kari  , Food Science and Nutrition
Pokharel, Siroj  , Animal Science
Ponitz, Jeffrey A. , Architecture
Porumamila, Hemanth  , Mechanical Engineering
Poshtan, Majid  , Electrical Engineering
Pouraghabagher, A. Reza  , Industrial and Manufacturing  Engineering
Pressler, Yamina  , Natural Resources Management and Environmental Sciences
Prince, James P , College of Agriculture, Food and Environmental Sciences
Prodanov, Vladimir  , Electrical Engineering
Pulitano, Elvira  , Ethnic Studies
Qenani-Petrela, Eivis  , Agribusiness
Qu, Bing  , Civil and Environmental Engineering
Ragsdale, Joseph J. , Landscape Architecture
Rahim, Ashraf  , Civil and Environmental Engineering
Rahman, Shikha  , Civil and Environmental Engineering
Rajakaruna, Nishanta  , Biological Sciences
